"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",91.10512,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",92.67442,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.90362,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.72172,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.8473,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",106.4029,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.7682,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",113.1062,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",116.0336,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.156842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.069337,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.464833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.622223,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1186271,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.261583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.442583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.233584,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.497319,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.722521,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.405407,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.969429,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.331402,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.847277,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.457183,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.162829,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.040952,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.588173,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",96.53498,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",98.90391,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.80234,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",102.4369,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",103.6331,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",102.2596,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",102.0528,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",102.5178,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",103.4252,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",107.0502,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.19475,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",99.51391,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",100.6112,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",101.0088,,
